35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35960420, POTED (POTE ankyrin domain family member D) Variant
35956668, LIPI (lipase I) Variant
35956668, LIPI (lipase I) Variant
35956668, LIPI (lipase I) Variant
35951971, RBM11 (RNA binding motif protein 11) Variant
35951971, RBM11 (RNA binding motif protein 11) Variant
